pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,sy_dist
"TOI-2093 c","TOI-2093","Transit",2025,53.81149000000,2.30000000,15.80000000,82.79820000
"TOI-2169 A b","TOI-2169 A","Transit",2025,8.21482820000,12.50922246,329.58805806,351.48700000
"TOI-2322 c","TOI-2322","Transit",2025,20.22552800000,1.87400000,18.10000000,59.86100000
"TOI-2322 b","TOI-2322","Transit",2025,11.30717000000,0.99400000,2.31000000,59.86100000
"TOI-2328 b","TOI-2328","Transit",2025,17.10197000000,9.97599282,50.85254512,231.78200000
"TOI-2345 b","TOI-2345","Transit",2025,1.05285730000,1.50400000,3.49000000,81.65410000
"TOI-2345 c","TOI-2345","Transit",2025,21.06430200000,2.45100000,7.27000000,81.65410000
"TOI-2346 b","TOI-2346","Transit",2025,3.33120290000,16.11851425,394.10722468,437.48400000
"TOI-2382 b","TOI-2382","Transit",2025,4.66120610000,12.25141591,235.19302118,434.92000000
"TOI-2449 b","TOI-2449","Transit",2025,106.14468000000,11.24000000,222.00000000,156.78600000
"TOI-1438 b","TOI-1438","Transit",2025,5.13967000000,3.04000000,9.40000000,110.51300000
"TOI-1438 c","TOI-1438","Transit",2025,9.42808900000,2.75000000,10.60000000,110.51300000
"TOI-1453 c","TOI-1453","Transit",2025,6.58869820000,2.22400000,2.95000000,78.74150000
"TOI-1453 b","TOI-1453","Transit",2025,4.31352250000,1.17300000,2.32000000,78.74150000
"TOI-1648 b","TOI-1648","Transit",2025,7.33160200000,2.54000000,7.40000000,69.83500000
"TOI-1803 c","TOI-1803","Transit",2025,12.88577900000,4.29000000,8.00000000,119.24000000
"TOI-1803 b","TOI-1803","Transit",2025,6.29328700000,2.99000000,10.32000000,119.24000000
"TOI-283 b","TOI-283","Transit",2025,17.61745000000,2.34000000,6.54000000,82.70130000
"TOI-333 b","TOI-333","Transit",2025,3.78525030000,4.26000000,20.10000000,352.26900000
"TOI-512 b","TOI-512","Transit",2025,7.18886000000,1.54000000,3.57000000,67.39750000
"TOI-521 b","TOI-521","Transit",2025,1.54285047000,1.98000000,5.30000000,60.94250000
"TOI-756 b","TOI-756","Transit",2025,1.23924950000,2.81000000,9.83000000,86.17590000
"TOI-912 b","TOI-912","Transit",2025,4.67806910000,1.93000000,5.10000000,26.10720000
"TOI-1011 b","TOI-1011","Transit",2025,2.47049800000,1.45000000,4.04000000,52.62000000
"TOI-1117 b","TOI-1117","Transit",2025,2.22816000000,2.46000000,8.90000000,167.59800000
"TOI-1472 c","TOI-1472","Radial Velocity",2025,15.53817470000,3.33400000,21.13000000,121.84000000
"NGTS-34 b","NGTS-34","Transit",2025,43.12655000000,3.65000000,19.10000000,120.47500000
"KOI-134 b","KOI-134","Transit",2025,67.12770000000,12.03844527,346.43296363,1159.21000000
"TOI-6303 b","TOI-6303","Transit",2025,9.48523600000,11.59000000,2493.00000000,152.21900000
"TOI-6324 b","TOI-6324","Transit",2025,0.27922100000,1.05900000,1.17000000,20.54880000
"TOI-6330 b","TOI-6330","Transit",2025,6.85002460000,10.89000000,3179.00000000,139.04200000
"TOI-6420 b","TOI-6420","Transit",2025,6.96150800000,11.93756445,2606.19293740,634.71200000
"TOI-6628 b","TOI-6628","Transit",2025,18.18424000000,10.98480109,235.19302118,320.52700000
"NGTS-35 b","NGTS-35","Transit",2025,25.24119200000,10.90000000,152.00000000,183.07800000
"TOI-6695 b","TOI-6695","Transit",2025,80.38900000000,9.52763359,66.74396547,282.53600000
"GJ 341 b","GJ 341","Transit",2025,7.57686000000,0.88000000,4.00000000,10.45400000
"TOI-6894 b","TOI-6894","Transit",2025,3.37077196000,9.58367850,53.39517238,73.81310000
"TOI-7041 b","TOI-7041","Transit",2025,9.69100000000,11.43316031,114.41822652,439.52000000
"TOI-7149 b","TOI-7149","Transit",2025,2.65206166000,13.20000000,224.00000000,126.12600000
"ZTF J1230-2655 b","ZTF J1230-2655","Transit",2025,0.23597766000,13.78704626,7024.00779470,186.69000000
"ZTF J1828+2308 b","ZTF J1828+2308","Transit",2025,0.11200670000,11.13051784,6356.56814000,201.82700000
"TOI-2076 e","TOI-2076","Transit",2025,3.02237530000,1.30100000,4.70000000,41.90910000
"TOI-201 c","TOI-201","Transit Timing Variations",2025,2890.00000000000,10.40000000,4990.00000000,113.82500000
"HD 224018 b","HD 224018","Radial Velocity",2025,10.64130000000,0.91000000,4.10000000,105.48000000
"HD 224018 c","HD 224018","Transit",2025,36.57669000000,2.42000000,10.40000000,105.48000000
"HD 224018 d","HD 224018","Transit",2025,138.07310000000,2.40000000,4.20000000,105.48000000
"TOI-1203 b","TOI-1203","Radial Velocity",2025,4.15728880000,1.52000000,3.51000000,64.99430000
"NGTS-32 b","NGTS-32","Transit",2025,3.31211000000,15.91675259,181.16219199,837.45700000
"HD 143811 AB b","HD 143811 A","Imaging",2025,117000.00000000000,15.69257298,1938.75328270,136.60800000
"TOI-7510 b","TOI-7510","Transit",2025,11.53086900000,7.31000000,18.10000000,249.00600000
"TOI-7510 c","TOI-7510","Transit",2025,22.56874230000,10.81000000,131.00000000,249.00600000
"TOI-7510 d","TOI-7510","Transit",2025,48.86446800000,10.52000000,190.00000000,249.00600000
"TOI-1422 c","TOI-1422","Radial Velocity",2025,34.56330000000,2.61000000,14.00000000,155.14100000
"TOI-5261 b","TOI-5261","Transit",2025,4.15097680000,11.60129502,3651.84839643,377.05400000
"WASP-154 b","WASP-154","Transit",2025,3.81167800000,10.76062147,198.96058278,215.50100000
"TOI-5300 b","TOI-5300","Transit",2025,2.26219600000,9.86390302,190.69704420,162.51000000
"TOI-5322 b","TOI-5322","Transit",2025,5.42332070000,16.61170940,184.02264765,476.89900000
"TOI-5340 b","TOI-5340","Transit",2025,4.93943920000,15.07607904,270.15414595,532.62900000
"TOI-5350 b","TOI-5350","Transit",2025,7.58136700000,12.41955062,2094.48920213,277.41900000
"WASP-197 b","WASP-197","Transit",2025,5.16722800000,14.44837612,403.32424848,483.67500000
"TOI-5386 A b","TOI-5386 A","Transit",2025,3.62156552000,14.70618268,155.10026262,394.48600000
"TOI-5573 b","TOI-5573","Transit",2025,8.79758977000,9.75000000,112.00000000,186.56200000
"TOI-5592 b","TOI-5592","Transit",2025,2.60858460000,17.14974047,285.72773789,597.02600000
"TOI-5786 b","TOI-5786","Transit",2025,12.77910700000,8.54000000,73.00000000,192.47500000
"TOI-5795 b","TOI-5795","Transit",2025,6.14063250000,5.62000000,23.66000000,156.53000000
"TOI-5800 b","TOI-5800","Transit",2025,2.62788380000,2.46000000,9.50000000,42.90520000
"TOI-5817 b","TOI-5817","Transit",2025,15.61031000000,3.08000000,10.30000000,80.75420000
"TOI-5882 b","TOI-5882","Transit",2025,7.14897200000,11.46678726,6995.40323807,416.10400000
"TOI-6038 A b","TOI-6038 A","Transit",2025,5.82673110000,6.41000000,78.50000000,179.14700000
"TOI-6041 b","TOI-6041","Transit",2025,26.04945000000,4.55000000,28.90000000,72.47310000
"WASP-149 b","WASP-149","Transit",2025,1.33281300000,15.24421375,314.96795134,211.73000000
"WASP-155 b","WASP-155","Transit",2025,3.11041300000,13.45077684,276.82854250,399.63000000
"WASP-102 b","WASP-102","Transit",2025,2.70981300000,14.90794433,197.68926915,535.68900000
"HD 35843 c","HD 35843","Transit",2025,46.96220000000,2.54000000,11.32000000,69.60260000
"TOI-4214 b","TOI-4214","Transit",2025,3.49138850000,10.68215861,165.27077164,346.88100000
"TOI-4465 b","TOI-4465","Transit",2025,101.94054000000,14.01122587,1872.00931723,121.13900000
"TOI-4487 A b","TOI-4487 A","Transit",2025,3.95407090000,14.60530185,397.28550875,479.14500000
"Ross 176 b","Ross 176","Transit",2025,5.00663380000,1.84000000,4.57000000,46.44880000
"TOI-4507 b","TOI-4507","Transit",2025,104.61611000000,8.20000000,20.00000000,178.26000000
"TOI-4666 b","TOI-4666","Transit",2025,2.90891650000,12.53164042,155.41809102,154.74900000
"WASP-116 b","WASP-116","Transit",2025,6.61320000000,13.67495645,203.41018048,559.24300000
"TOI-4734 b","TOI-4734","Transit",2025,6.23563300000,10.91754720,61.65871096,563.06800000
"TOI-4773 b","TOI-4773","Transit",2025,1.74528510000,15.22179579,1687.66884117,492.88800000
"TOI-4794 b","TOI-4794","Transit",2025,3.56581160000,14.35870428,308.29355479,543.00800000
"TOI-4940 b","TOI-4940","Transit",2025,25.86781100000,6.61000000,89.00000000,345.65900000
"TOI-4961 b","TOI-4961","Transit",2025,7.47918200000,12.34108775,572.09113260,213.07300000
"TOI-5027 b","TOI-5027","Transit",2025,10.24368000000,10.76062147,642.01338214,204.42900000
"TOI-5108 b","TOI-5108","Transit",2025,6.75358100000,6.60000000,32.00000000,130.91900000
"TOI-5181 A b","TOI-5181 A","Transit",2025,3.89222950000,13.34989601,330.54154328,480.15500000
